Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os06g43570	7.19E-32	0.466213258	0.818	0.56	2.82E-27	endodermis
LOC-Os10g13550	8.53E-32	0.347511611	0.382	0.135	3.34E-27	endodermis
LOC-Os01g51700	9.09E-32	0.250999552	0.467	0.184	3.56E-27	endodermis
LOC-Os07g30820	1.81E-31	0.3434322	0.796	0.49	7.10E-27	endodermis
LOC-Os01g36930	2.20E-31	0.340142591	0.681	0.372	8.62E-27	endodermis
LOC-Os11g34450	3.13E-31	0.407230623	0.846	0.587	1.23E-26	endodermis
LOC-Os02g53060	3.50E-31	0.250962048	0.519	0.221	1.37E-26	endodermis
LOC-Os01g02880	5.20E-31	0.321372049	0.53	0.241	2.04E-26	endodermis
LOC-Os09g310801	7.23E-31	0.967929744	0.86	0.599	2.83E-26	endodermis
LOC-Os06g04800	8.52E-31	0.344021666	0.656	0.359	3.34E-26	endodermis
LOC-Os08g065501	1.50E-30	0.487713415	0.937	0.777	5.88E-26	endodermis
LOC-Os03g023801	1.56E-30	0.336937128	0.635	0.298	6.13E-26	endodermis
LOC-Os07g14910	1.67E-30	0.417283517	0.537	0.245	6.57E-26	endodermis
LOC-Os07g400001	2.94E-30	0.482979456	0.698	0.383	1.15E-25	endodermis
LOC-Os06g06250	4.77E-30	0.453636902	0.558	0.262	1.87E-25	endodermis
LOC-Os04g36859	8.80E-30	0.349559763	0.702	0.399	3.45E-25	endodermis
LOC-Os02g10200	8.81E-30	0.401739211	0.898	0.728	3.45E-25	endodermis
LOC-Os09g36710	2.37E-29	0.320538643	0.607	0.307	9.30E-25	endodermis
LOC-Os01g34700	3.85E-29	0.343752715	0.779	0.46	1.51E-24	endodermis
LOC-Os12g44150	1.90E-28	0.305324955	0.463	0.201	7.46E-24	endodermis
LOC-Os09g33986	3.01E-28	0.458433116	0.825	0.588	1.18E-23	endodermis
LOC-Os01g01520	3.59E-28	0.293527178	0.414	0.164	1.41E-23	endodermis
LOC-Os03g20470	5.75E-28	0.323026242	0.632	0.317	2.26E-23	endodermis
LOC-Os02g09780	1.41E-27	0.284883002	0.625	0.325	5.53E-23	endodermis
LOC-Os03g08280	1.50E-27	0.413478612	0.811	0.598	5.87E-23	endodermis
LOC-Os02g46210	1.82E-27	0.429878098	0.537	0.261	7.14E-23	endodermis
LOC-Os09g29270	2.90E-27	0.423408075	0.895	0.722	1.14E-22	endodermis
LOC-Os03g03820	2.22E-26	0.27346931	0.505	0.237	8.70E-22	endodermis
LOC-Os05g38820	2.26E-26	0.273594531	0.611	0.301	8.86E-22	endodermis
LOC-Os06g50970	2.69E-26	0.276710882	0.674	0.364	1.06E-21	endodermis
LOC-Os02g43590	9.51E-26	0.425440634	0.621	0.346	3.73E-21	endodermis
LOC-Os04g53440	1.09E-25	0.309965309	0.649	0.368	4.26E-21	endodermis
LOC-Os11g21990	1.59E-25	0.411062497	0.758	0.56	6.24E-21	endodermis
LOC-Os08g36170	2.32E-25	0.267398719	0.54	0.246	9.11E-21	endodermis
LOC-Os09g32800	2.39E-25	0.358227921	0.804	0.564	9.38E-21	endodermis
LOC-Os03g61740	3.21E-25	0.463903809	0.705	0.403	1.26E-20	endodermis
LOC-Os01g18070	4.31E-25	0.320079865	0.895	0.685	1.69E-20	endodermis
LOC-Os03g63860	5.06E-25	0.310350474	0.849	0.649	1.98E-20	endodermis
LOC-Os10g39170	5.14E-25	0.59451007	0.295	0.106	2.02E-20	endodermis
LOC-Os03g27290	5.73E-25	0.306640134	0.968	0.882	2.25E-20	endodermis
LOC-Os11g05719	6.94E-25	0.329948105	0.119	0.022	2.72E-20	endodermis
LOC-Os04g44500	8.33E-25	0.331779658	0.453	0.194	3.27E-20	endodermis
LOC-Os04g40950	9.03E-25	0.522666353	0.912	0.814	3.54E-20	endodermis
LOC-Os11g076701	1.36E-24	0.413272142	0.611	0.326	5.33E-20	endodermis
Add-EVM0015885	2.58E-24	0.830712952	0.811	0.64	1.01E-19	endodermis
